METADATA
VIDEO_FPS,60
TORSION RESULTS
Frame Index,Frame Time,Torsion [deg],Pupil Center Column,Pupil Center Row,Pupil Radius [pixels]
0,0.0,0,208.52197265625,182.71197509765625,108.19635391235352
1,0.016666666666666666,-0.20000000000140972,208.80386352539062,183.06402587890625,108.48595428466797
2,0.03333333333333333,-0.1000000000014154,208.66867065429688,182.5426025390625,108.47373580932617
3,0.05,-0.1000000000014154,208.667236328125,182.41172790527344,108.40826797485352
4,0.06666666666666667,-0.20000000000140972,208.92774963378906,182.41383361816406,108.35517501831055
5,0.08333333333333333,-0.20000000000140972,208.99163818359375,182.31724548339844,108.32702255249023
6,0.1,-0.1000000000014154,209.17820739746094,181.95252990722656,108.23590850830078
7,0.11666666666666667,-0.30000000000140403,209.41094970703125,181.9766082763672,108.41104125976562
8,0.13333333333333333,-0.30000000000140403,209.55685424804688,181.7442169189453,108.48367309570312
9,0.15,-0.30000000000140403,209.7512969970703,181.5950164794922,108.5514144897461
10,0.16666666666666666,-0.30000000000140403,209.89361572265625,181.53884887695312,108.72461700439453
11,0.18333333333333332,-0.50000000000139266,210.1359100341797,181.94009399414062,108.7538833618164
12,0.2,-0.40000000000139835,209.93980407714844,181.8350372314453,108.57958602905273
13,0.21666666666666667,-0.60000000000138698,209.90283203125,182.28546142578125,108.78315353393555
14,0.23333333333333334,-0.7000000000013813,210.4183349609375,182.3816375732422,109.04715347290039
15,0.25,-0.7000000000013813,210.79434204101562,182.36123657226562,109.07943725585938
16,0.26666666666666666,-0.60000000000138698,210.61766052246094,182.32839965820312,108.93902587890625
17,0.2833333333333333,-0.7000000000013813,210.40744018554688,182.36573791503906,108.87786483764648
18,0.3,-0.90000000000136993,211.03057861328125,182.31875610351562,109.24215316772461
19,0.31666666666666665,-0.7000000000013813,211.0074462890625,182.14437866210938,108.94058990478516
20,0.3333333333333333,-1.0000000000013642,211.25238037109375,182.18243408203125,109.03606033325195
21,0.35,-1.0000000000013642,211.08023071289062,182.18295288085938,109.02273559570312
22,0.36666666666666664,-1.0000000000013642,211.48284912109375,182.11534118652344,109.09251403808594
23,0.3833333333333333,-1.0000000000013642,211.4927520751953,182.00115966796875,109.01515197753906
24,0.4,-1.0000000000013642,211.73089599609375,181.90028381347656,109.025634765625
25,0.4166666666666667,-0.90000000000136993,211.96421813964844,181.7114715576172,109.01297378540039
26,0.43333333333333335,-1.1000000000013586,212.39959716796875,181.8856201171875,109.45833969116211
27,0.45,-1.0000000000013642,211.73062133789062,181.41024780273438,108.90727996826172
28,0.4666666666666667,-1.1000000000013586,211.66806030273438,181.36370849609375,108.8928451538086
29,0.48333333333333334,-1.1000000000013586,211.98513793945312,181.14479064941406,109.07895278930664
30,0.5,-1.1000000000013586,211.88705444335938,180.89599609375,108.93574142456055
31,0.5166666666666666,-1.1000000000013586,211.8393096923828,180.9613494873047,108.9969596862793
32,0.5333333333333333,-1.2000000000013529,212.2765655517578,180.86228942871094,109.00017547607422
33,0.55,-1.3000000000013472,212.47628784179688,180.83200073242188,109.08742141723633
34,0.5666666666666667,-1.0000000000013642,211.98635864257812,180.32383728027344,108.64359664916992
35,0.5833333333333334,-1.0000000000013642,212.5097198486328,180.6212921142578,108.8424301147461
36,0.6,-1.1000000000013586,211.9613494873047,180.5736083984375,108.57192993164062
37,0.6166666666666667,-1.3000000000013472,212.56033325195312,181.06651306152344,109.01807022094727
38,0.6333333333333333,-1.3000000000013472,212.23394775390625,181.00083923339844,108.74504852294922
39,0.65,-1.3000000000013472,212.5874481201172,180.92442321777344,108.93495559692383
40,0.6666666666666666,-1.3000000000013472,212.68475341796875,180.6922607421875,108.83623123168945
41,0.6833333333333333,-1.3000000000013472,212.59181213378906,180.4451446533203,108.89606857299805
42,0.7,-1.2000000000013529,212.15614318847656,179.96739196777344,108.64766311645508
43,0.7166666666666667,-1.2000000000013529,212.23348999023438,179.86434936523438,108.62039947509766
44,0.7333333333333333,-1.2000000000013529,212.06332397460938,179.74497985839844,108.56135177612305
45,0.75,-1.3000000000013472,212.1289825439453,179.69186401367188,108.59697341918945
46,0.7666666666666666,-1.3000000000013472,212.71804809570312,179.70083618164062,108.84857177734375
47,0.7833333333333333,-1.2000000000013529,212.37486267089844,179.46395874023438,108.46931838989258
48,0.8,-1.4000000000013415,212.59498596191406,179.89950561523438,108.73304748535156
49,0.8166666666666667,-1.4000000000013415,212.37417602539062,179.811279296875,108.56480026245117
50,0.8333333333333334,-1.4000000000013415,212.9963836669922,179.93911743164062,108.90061569213867
51,0.85,-1.3000000000013472,212.66517639160156,179.6414794921875,108.5448226928711
52,0.8666666666666667,-1.3000000000013472,212.6886749267578,179.72479248046875,108.65966796875
53,0.8833333333333333,-1.4000000000013415,213.0467529296875,179.76199340820312,108.66507339477539
54,0.9,-1.3000000000013472,212.9834442138672,179.37509155273438,108.54503631591797
55,0.9166666666666666,-1.5000000000013358,213.22421264648438,179.6973114013672,108.85041046142578
56,0.9333333333333333,-1.4000000000013415,212.91909790039062,179.67645263671875,108.53025436401367
57,0.95,-1.4000000000013415,213.24725341796875,179.83448791503906,108.67544555664062
58,0.9666666666666667,-1.3000000000013472,212.94454956054688,179.47613525390625,108.27134704589844
59,0.9833333333333333,-1.4000000000013415,212.98890686035156,179.40200805664062,108.31721496582031
60,1.0,-1.6000000000013301,213.06614685058594,179.49099731445312,108.3351821899414
61,1.0166666666666666,-1.6000000000013301,213.16348266601562,179.5688934326172,108.32836151123047
62,1.0333333333333332,-1.6000000000013301,213.1299285888672,179.30430603027344,108.06660079956055
63,1.05,-1.6000000000013301,213.2561798095703,179.2456817626953,108.19110107421875
64,1.0666666666666667,-1.5000000000013358,213.27389526367188,179.22901916503906,108.0518569946289
65,1.0833333333333333,-1.7000000000013245,213.4360809326172,179.19192504882812,108.14681243896484
66,1.1,-1.5000000000013358,213.1658172607422,178.75689697265625,107.98053359985352
67,1.1166666666666667,-1.5000000000013358,213.02207946777344,178.591552734375,107.95434951782227
68,1.1333333333333333,-1.6000000000013301,213.15310668945312,178.52975463867188,107.947021484375
69,1.15,-1.6000000000013301,213.04385375976562,178.59011840820312,107.95407104492188
70,1.1666666666666667,-1.5000000000013358,212.80128479003906,178.4073486328125,107.63977432250977
71,1.1833333333333333,-1.5000000000013358,213.237548828125,178.63363647460938,107.74270629882812
72,1.2,-0.90000000000136993,209.95016479492188,179.01576232910156,107.71998596191406
73,1.2166666666666666,-0.40000000000139835,208.02401733398438,181.6381072998047,108.0601921081543
74,1.2333333333333334,-0.1000000000014154,208.12611389160156,181.8089141845703,107.63993453979492
75,1.25,-0.1000000000014154,208.0729522705078,181.704833984375,107.61861801147461
76,1.2666666666666666,-0.20000000000140972,208.25462341308594,181.93057250976562,107.61057662963867
77,1.2833333333333332,-0.20000000000140972,208.27481079101562,181.65277099609375,107.63936614990234
78,1.3,-0.30000000000140403,208.0276336669922,181.51712036132812,107.56193923950195
79,1.3166666666666667,-0.1000000000014154,208.19142150878906,180.94015502929688,107.4358139038086
80,1.3333333333333333,-0.30000000000140403,208.11123657226562,180.86300659179688,107.73430252075195
81,1.35,-0.40000000000139835,207.87171936035156,180.8848419189453,107.42647933959961
82,1.3666666666666667,-0.30000000000140403,208.019775390625,180.51866149902344,107.51013565063477
83,1.3833333333333333,-0.40000000000139835,207.78953552246094,180.4683380126953,107.31866455078125
84,1.4,-0.30000000000140403,207.68295288085938,180.202880859375,107.27798843383789
85,1.4166666666666667,-0.40000000000139835,207.9176025390625,180.2377471923828,107.394287109375
86,1.4333333333333333,-0.50000000000139266,208.05667114257812,180.2989044189453,107.3471794128418
87,1.45,-0.40000000000139835,207.9964141845703,179.9590301513672,107.24160766601562
88,1.4666666666666666,-0.50000000000139266,207.89903259277344,180.05642700195312,107.34107971191406
89,1.4833333333333334,-0.50000000000139266,208.0174102783203,179.94290161132812,107.34934616088867
90,1.5,-0.50000000000139266,208.0156707763672,179.98666381835938,107.377197265625
91,1.5166666666666666,-0.60000000000138698,208.22415161132812,180.03494262695312,107.42164993286133
92,1.5333333333333332,-0.7000000000013813,207.85525512695312,180.07284545898438,107.39434814453125
93,1.55,-0.50000000000139266,207.8450164794922,179.6194610595703,107.25788879394531
94,1.5666666666666667,-0.7000000000013813,208.11480712890625,179.92764282226562,107.44071197509766
95,1.5833333333333333,-0.60000000000138698,207.57081604003906,179.54843139648438,107.23675918579102
96,1.6,-0.80000000000137561,207.5767059326172,179.7226104736328,107.3591537475586
97,1.6166666666666667,-0.7000000000013813,207.63906860351562,179.45094299316406,107.3828125
98,1.6333333333333333,-0.7000000000013813,207.9600372314453,179.39132690429688,107.47540283203125
99,1.65,-0.80000000000137561,208.00128173828125,179.2974395751953,107.46479797363281
100,1.6666666666666667,-0.7000000000013813,208.3330535888672,179.10470581054688,107.73242568969727
101,1.6833333333333333,-0.7000000000013813,208.2012176513672,178.9722442626953,107.44073867797852
102,1.7,-0.90000000000136993,208.16326904296875,178.96002197265625,107.48324203491211
103,1.7166666666666666,-0.80000000000137561,208.3010711669922,179.11325073242188,107.44221496582031
104,1.7333333333333334,-0.90000000000136993,208.20785522460938,178.75059509277344,107.39122009277344
105,1.75,-0.90000000000136993,208.3087615966797,178.7839813232422,107.58590316772461
106,1.7666666666666666,-1.0000000000013642,208.18075561523438,178.545166015625,107.31491470336914
107,1.7833333333333332,-0.90000000000136993,208.4337921142578,178.25860595703125,107.513427734375
108,1.8,-0.50000000000139266,208.52943420410156,179.864013671875,107.73270034790039
109,1.8166666666666667,-1.4210854715202004e-12,207.51971435546875,181.557861328125,107.50838851928711
110,1.8333333333333333,-1.4210854715202004e-12,207.49038696289062,181.0862274169922,107.47842788696289
111,1.8499999999999999,-0.20000000000140972,207.59930419921875,181.03289794921875,107.56122970581055
112,1.8666666666666667,-0.1000000000014154,207.59683227539062,180.75550842285156,107.56861114501953
113,1.8833333333333333,-0.20000000000140972,207.66073608398438,180.60934448242188,107.68646621704102
114,1.9,-0.20000000000140972,207.8600311279297,180.67156982421875,107.65400695800781
115,1.9166666666666667,-0.20000000000140972,207.72373962402344,180.48178100585938,107.48152160644531
116,1.9333333333333333,-0.30000000000140403,208.05514526367188,180.5287628173828,107.78929138183594
117,1.95,-0.20000000000140972,207.83880615234375,180.39077758789062,107.65690994262695
118,1.9666666666666666,-0.20000000000140972,207.79006958007812,180.18882751464844,107.78829574584961
119,1.9833333333333334,-0.30000000000140403,208.23452758789062,180.08367919921875,107.96003723144531
120,2.0,-0.30000000000140403,207.80291748046875,179.72071838378906,107.77033996582031
121,2.0166666666666666,-0.50000000000139266,207.9087371826172,179.8291015625,108.01806259155273
122,2.033333333333333,-0.60000000000138698,207.8717498779297,179.69602966308594,108.01236724853516
123,2.05,-0.50000000000139266,207.8417510986328,179.30723571777344,108.10589599609375
