METADATA
VIDEO_FPS,60
TORSION RESULTS
Frame Index,Frame Time,Torsion [deg]
0,0.0,0
1,0.016666666666666666,-0.20000000000140972
2,0.03333333333333333,-0.1000000000014154
3,0.05,-0.1000000000014154
4,0.06666666666666667,-0.20000000000140972
5,0.08333333333333333,-0.20000000000140972
6,0.1,-0.1000000000014154
7,0.11666666666666667,-0.30000000000140403
8,0.13333333333333333,-0.30000000000140403
9,0.15,-0.30000000000140403
10,0.16666666666666666,-0.30000000000140403
11,0.18333333333333332,-0.50000000000139266
12,0.2,-0.40000000000139835
13,0.21666666666666667,-0.60000000000138698
14,0.23333333333333334,-0.7000000000013813
15,0.25,-0.7000000000013813
16,0.26666666666666666,-0.60000000000138698
17,0.2833333333333333,-0.7000000000013813
18,0.3,-0.90000000000136993
19,0.31666666666666665,-0.7000000000013813
20,0.3333333333333333,-1.0000000000013642
21,0.35,-1.0000000000013642
22,0.36666666666666664,-1.0000000000013642
23,0.3833333333333333,-1.0000000000013642
24,0.4,-1.0000000000013642
25,0.4166666666666667,-0.90000000000136993
26,0.43333333333333335,-1.1000000000013586
27,0.45,-1.0000000000013642
28,0.4666666666666667,-1.1000000000013586
29,0.48333333333333334,-1.1000000000013586
30,0.5,-1.1000000000013586
31,0.5166666666666666,-1.1000000000013586
32,0.5333333333333333,-1.2000000000013529
33,0.55,-1.3000000000013472
34,0.5666666666666667,-1.0000000000013642
35,0.5833333333333334,-1.0000000000013642
36,0.6,-1.1000000000013586
37,0.6166666666666667,-1.3000000000013472
38,0.6333333333333333,-1.3000000000013472
39,0.65,-1.3000000000013472
40,0.6666666666666666,-1.3000000000013472
41,0.6833333333333333,-1.3000000000013472
42,0.7,-1.2000000000013529
43,0.7166666666666667,-1.2000000000013529
44,0.7333333333333333,-1.2000000000013529
45,0.75,-1.3000000000013472
46,0.7666666666666666,-1.3000000000013472
47,0.7833333333333333,-1.2000000000013529
48,0.8,-1.4000000000013415
49,0.8166666666666667,-1.4000000000013415
50,0.8333333333333334,-1.4000000000013415
51,0.85,-1.3000000000013472
52,0.8666666666666667,-1.3000000000013472
53,0.8833333333333333,-1.4000000000013415
54,0.9,-1.3000000000013472
55,0.9166666666666666,-1.5000000000013358
56,0.9333333333333333,-1.4000000000013415
57,0.95,-1.4000000000013415
58,0.9666666666666667,-1.3000000000013472
59,0.9833333333333333,-1.4000000000013415
60,1.0,-1.6000000000013301
61,1.0166666666666666,-1.6000000000013301
62,1.0333333333333332,-1.6000000000013301
63,1.05,-1.6000000000013301
64,1.0666666666666667,-1.5000000000013358
65,1.0833333333333333,-1.7000000000013245
66,1.1,-1.5000000000013358
67,1.1166666666666667,-1.5000000000013358
68,1.1333333333333333,-1.6000000000013301
69,1.15,-1.6000000000013301
70,1.1666666666666667,-1.5000000000013358
71,1.1833333333333333,-1.5000000000013358
72,1.2,-0.90000000000136993
73,1.2166666666666666,-0.40000000000139835
74,1.2333333333333334,-0.1000000000014154
75,1.25,-0.1000000000014154
76,1.2666666666666666,-0.20000000000140972
77,1.2833333333333332,-0.20000000000140972
78,1.3,-0.30000000000140403
79,1.3166666666666667,-0.1000000000014154
80,1.3333333333333333,-0.30000000000140403
81,1.35,-0.40000000000139835
82,1.3666666666666667,-0.30000000000140403
83,1.3833333333333333,-0.40000000000139835
84,1.4,-0.30000000000140403
85,1.4166666666666667,-0.40000000000139835
86,1.4333333333333333,-0.50000000000139266
87,1.45,-0.40000000000139835
88,1.4666666666666666,-0.50000000000139266
89,1.4833333333333334,-0.50000000000139266
90,1.5,-0.50000000000139266
91,1.5166666666666666,-0.60000000000138698
92,1.5333333333333332,-0.7000000000013813
93,1.55,-0.50000000000139266
94,1.5666666666666667,-0.7000000000013813
95,1.5833333333333333,-0.60000000000138698
96,1.6,-0.80000000000137561
97,1.6166666666666667,-0.7000000000013813
98,1.6333333333333333,-0.7000000000013813
99,1.65,-0.80000000000137561
100,1.6666666666666667,-0.7000000000013813
101,1.6833333333333333,-0.7000000000013813
102,1.7,-0.90000000000136993
103,1.7166666666666666,-0.80000000000137561
104,1.7333333333333334,-0.90000000000136993
105,1.75,-0.90000000000136993
106,1.7666666666666666,-1.0000000000013642
107,1.7833333333333332,-0.90000000000136993
108,1.8,-0.50000000000139266
109,1.8166666666666667,-1.4210854715202004e-12
110,1.8333333333333333,-1.4210854715202004e-12
111,1.8499999999999999,-0.20000000000140972
112,1.8666666666666667,-0.1000000000014154
113,1.8833333333333333,-0.20000000000140972
114,1.9,-0.20000000000140972
115,1.9166666666666667,-0.20000000000140972
116,1.9333333333333333,-0.30000000000140403
117,1.95,-0.20000000000140972
118,1.9666666666666666,-0.20000000000140972
119,1.9833333333333334,-0.30000000000140403
120,2.0,-0.30000000000140403
121,2.0166666666666666,-0.50000000000139266
122,2.033333333333333,-0.60000000000138698
123,2.05,-0.50000000000139266
124,2.0666666666666664,-0.50000000000139266
125,2.0833333333333335,-0.50000000000139266
126,2.1,-0.7000000000013813
127,2.1166666666666667,-0.80000000000137561
128,2.1333333333333333,-0.80000000000137561
129,2.15,-0.60000000000138698
130,2.1666666666666665,-0.7000000000013813
131,2.183333333333333,-0.7000000000013813
132,2.2,-0.7000000000013813
133,2.216666666666667,-0.80000000000137561
134,2.2333333333333334,-0.7000000000013813
135,2.25,-0.80000000000137561
136,2.2666666666666666,-0.7000000000013813
137,2.283333333333333,-0.90000000000136993
138,2.3,-0.7000000000013813
139,2.3166666666666664,-0.7000000000013813
140,2.3333333333333335,-0.7000000000013813
141,2.35,-0.80000000000137561
